PUBLICATION_DATE,UID,UNIQUE_ID,SITE_ID,PSTL_CODE,VISIT_NO,DATE_COL,LAB_SAMPLE_ID,SAMPLE_ID,LAB,MATRIX,SAM_CODE,DATE_RECEIVED,BATCH_ID,DATE_ANALYZED,DILUTION_FACTOR,EXTRACT,HOLDING_TIME,MDL,NARS_FLAG,QA_FLAG,RESULT,RESULT_UNITS,RESULT_VOL,RESULT_VOL_UNITS,RL,SHIP_FLAG,VOLUME_ADJUST,VOLUME_FILTERED
6/2/2026,2022065,NRS_OH-10096,NRS23_OH_10002,OH,1,6/14/2023,2310128,235703,PESD-AL,PERIPHYTON,REGULAR,6/16/2023,230623.1,6/23/2023,,317,9,0.29,,,1.901,ug/cm2,507,ug/L,1,,,25
6/2/2026,2022066,NRS_WV-10071,NRS23_WV_10004,WV,1,6/14/2023,2310155,240803,PESD-AL,PERIPHYTON,REGULAR,6/19/2023,230626.1,6/26/2023,,211,12,0.29,S,,1.268,ug/cm2,338,ug/L,1,,,25
6/2/2026,2022068,NRS_VT-10155,NRS23_VT_10011,VT,1,6/14/2023,2310108,250523,PESD-AL,PERIPHYTON,REGULAR,6/15/2023,230622.1,6/22/2023,,191,8,0.29,,,1.148,ug/cm2,306,ug/L,1,,,25
6/2/2026,2022069,NRS_OK-10266,NRS23_OK_10098,OK,1,6/14/2023,,240443,ODEQ,PERIPHYTON,REGULAR,6/15/2023,7/5/2023,7/5/2023,,15.4,21,,,,0.7416,ug/cm2,197.75,ug/L,0.5,,,15
6/2/2026,2022070,NRS_WA-10541,NRS23_WA_10135,WA,1,6/14/2023,2310131,236203,PESD-AL,PERIPHYTON,REGULAR,6/16/2023,230623.1,6/23/2023,,359,9,0.29,,,2.152,ug/cm2,574,ug/L,1,,,25
6/2/2026,2022071,NRS_WA-10453,NRS23_WA_10007,WA,1,6/14/2023,2310137,231823,PESD-AL,PERIPHYTON,REGULAR,6/16/2023,230623.1,6/23/2023,,236,9,0.29,,,1.418,ug/cm2,378,ug/L,1,,,25
6/2/2026,2022072,NRS_OR-10774,NRS23_OR_10169,OR,1,6/14/2023,2310129,250923,PESD-AL,PERIPHYTON,REGULAR,6/16/2023,230623.1,6/23/2023,,27.3,9,0.29,,,0.4088,ug/cm2,109,ug/L,1,,,10
6/2/2026,2022073,NRS_IA-10165,NRS23_IA_10018,IA,1,6/15/2023,2310125,236163,PESD-AL,PERIPHYTON,REGULAR,6/16/2023,230623.1,6/23/2023,,386,8,0.29,,,5.775,ug/cm2,1540,ug/L,1,,,10
6/2/2026,2022074,NRS_NE-10173,NRS23_NE_10015,NE,1,6/15/2023,2310135,232023,PESD-AL,PERIPHYTON,REGULAR,6/16/2023,230623.1,6/23/2023,,137,8,0.29,,,3.424,ug/cm2,913,ug/L,1,,,6
6/2/2026,2022075,NRS_WV-10103,NRS23_WV_HP003,WV,1,6/14/2023,2310140,241383,PESD-AL,PERIPHYTON,REGULAR,6/16/2023,230623.1,6/23/2023,,433,9,0.29,,,2.599,ug/cm2,693,ug/L,1,,,25
