PUBLICATION_DATE,UID,SAMPLE_TYPE,SITE_ID,DATE_COL,VISIT_NO,PSTL_CODE,UNIQUE_ID,LAB,MATRIX,SAM_CODE,ANALYTE,BATCH_ID,SAMPLE_ID,LAB_SAMPLE_ID,DATE_ANALYZED,DATE_RECEIVED,HOLDING_TIME,HOLDING_TIME_UNITS,RESULT_VOL,RESULT_VOL_UNITS,RESULT,RESULT_UNITS,VOLUME_FILTERED,VOLUME_FILTERED_UNITS,RL,RL_UNITS,EXTRACT,EXTRACT_UNITS,QA_FLAG,NARS_FLAG,NARS_COMMENT
6/1/2026,2022371,PBIO,NRS23_SD_10007,7/18/2023,2,SD,NRS_SD-10478,PESD-AL,PERIPHYTON,REGULAR,AFDM,231127.3,238702,2310429,11/27/2023,7/20/2023,132,days,79.6,mg/L,0.2985,mg/cm2,25,mL,1,mg,2,mg,,,
6/1/2026,2022373,PBIO,NRS23_OK_10019,7/18/2023,1,OK,NRS_OK-10181,ODEQ,PERIPHYTON,REGULAR,AFDM,7/24/2023,245342,OWRB-1804122-09,7/24/2023,,6,days,404,mg/L,1.515,mg/cm2,25,mL,,,,,,,
6/1/2026,2022374,PBIO,NRS23_NY_10174,7/18/2023,1,NY,NRS_NY-10311,PESD-AL,PERIPHYTON,REGULAR,AFDM,231127.2,241942,2310416,11/27/2023,7/20/2023,132,days,122,mg/L,0.4575,mg/cm2,25,mL,1,mg,3.1,mg,,,
6/1/2026,2022375,PBIO,NRS23_NE_10071,7/18/2023,1,NE,NRS_NE-10207,PESD-AL,PERIPHYTON,REGULAR,AFDM,231127.2,248282,2310418,11/27/2023,7/20/2023,132,days,93.6,mg/L,0.351,mg/cm2,25,mL,1,mg,2.3,mg,,,
6/1/2026,2022376,PBIO,NRS23_NE_10003,7/18/2023,1,NE,NRS_NE-10188,PESD-AL,PERIPHYTON,REGULAR,AFDM,231127.2,235522,2310408,11/27/2023,7/19/2023,132,days,142,mg/L,0.5325,mg/cm2,20,mL,1,mg,2.8,mg,,,
6/1/2026,2022377,PBIO,NRS23_AR_10033,7/18/2023,1,AR,NRS_AR-10261,PESD-AL,PERIPHYTON,REGULAR,AFDM,231127.2,234562,2310412,11/27/2023,7/20/2023,132,days,227,mg/L,0.8512,mg/cm2,25,mL,1,mg,5.7,mg,,,
6/1/2026,2022378,PBIO,NRS23_LA_10099,7/18/2023,1,LA,NRS_LA-10295,PESD-AL,PERIPHYTON,REGULAR,AFDM,231127.2,246082,2310405,11/27/2023,7/19/2023,132,days,129,mg/L,0.4838,mg/cm2,25,mL,1,mg,3.2,mg,,,
6/1/2026,2022379,PBIO,NRS23_MI_10168,7/18/2023,1,MI,NRS_MI-10277,PESD-AL,PERIPHYTON,REGULAR,AFDM,231127.2,248842,2310419,11/27/2023,7/20/2023,132,days,353,mg/L,1.324,mg/cm2,25,mL,1,mg,8.8,mg,,,
6/1/2026,2022380,PBIO,NRS23_TX_10162,7/18/2023,1,TX,NRS_TX-10344,PESD-AL,PERIPHYTON,REGULAR,AFDM,231127.3,245222,2310423,11/27/2023,7/20/2023,132,days,658,mg/L,2.468,mg/cm2,25,mL,1,mg,16.5,mg,,,
6/1/2026,2022381,PBIO,NRS23_WV_10012,7/18/2023,1,WV,NRS_WV-10087,PESD-AL,PERIPHYTON,REGULAR,AFDM,231127.3,247902,2310425,11/27/2023,7/20/2023,132,days,339,mg/L,1.271,mg/cm2,25,mL,1,mg,8.5,mg,,,
6/1/2026,2022382,PBIO,NRS23_SC_10045,7/18/2023,1,SC,NRS_SC-10126,PESD-AL,PERIPHYTON,REGULAR,AFDM,231127.2,248022,2310411,11/27/2023,7/20/2023,132,days,449,mg/L,1.684,mg/cm2,25,mL,1,mg,11.2,mg,,,
6/1/2026,2022383,PBIO,NRS23_LA_10083,7/19/2023,1,LA,NRS_LA-10284,PESD-AL,PERIPHYTON,REGULAR,AFDM,231127.2,246162,2310414,11/27/2023,7/20/2023,131,days,284,mg/L,1.065,mg/cm2,25,mL,1,mg,7.1,mg,,,
6/1/2026,2022384,PBIO,NRS23_CT_10008,7/19/2023,1,CT,NRS_CT-10127,PESD-AL,PERIPHYTON,REGULAR,AFDM,231127.2,235142,2310417,11/27/2023,7/20/2023,131,days,276,mg/L,1.035,mg/cm2,25,mL,1,mg,6.9,mg,,,
